Time,GMP1_MEAS_CBIX,GMP1_MEAS_CBIY,GMP1_MEAS_CBIZ
1740905400.00,-0.572977306,-0.693323133,0.437036169
1740905430.00,-0.577586185,-0.684011401,0.445558395
1740905460.00,-0.58209602,-0.674567846,0.454005783
1740905490.00,-0.586502718,-0.665002391,0.462371333
1740905520.00,-0.590803036,-0.655316584,0.470650556
1740905550.00,-0.594998094,-0.645511231,0.47884455
1740905580.00,-0.599086747,-0.635589576,0.486950965
1740905610.00,-0.603068318,-0.625551709,0.494968806
1740905640.00,-0.606941616,-0.615400822,0.502895692
1740905670.00,-0.614546051,-0.604329774,0.507069464
1740905700.00,-0.621814645,-0.601543576,0.501489422
1740905730.00,-0.628699198,-0.599600335,0.495193654
1740905760.00,-0.635498146,-0.597675254,0.488800892
1740905790.00,-0.642212036,-0.59576721,0.482312244
1740905820.00,-0.648839807,-0.593876486,0.475728614
1740905850.00,-0.655379154,-0.592003705,0.469052797
1740905880.00,-0.661829363,-0.590148989,0.462283652
1740905910.00,-0.668189095,-0.588312925,0.455425219
1740905940.00,-0.674457316,-0.586495624,0.448476301
1740905970.00,-0.680632093,-0.584697553,0.441438806
1740906000.00,-0.686714091,-0.582918764,0.434315681
1740906030.00,-0.692700274,-0.581159867,0.427105721
1740906060.00,-0.698590695,-0.57942097,0.419812016
1740906090.00,-0.704384087,-0.577702445,0.412435287
1740906120.00,-0.710079466,-0.576004443,0.404976619
1740906150.00,-0.715675768,-0.574327435,0.397437796
1740906180.00,-0.721170674,-0.572671955,0.38982072
1740906210.00,-0.726564355,-0.571037935,0.382125276
1740906240.00,-0.731856438,-0.569425627,0.374354613
1740906270.00,-0.73704419,-0.567835654,0.366508326
1740906300.00,-0.742128017,-0.566267963,0.358589579
1740906330.00,-0.747107214,-0.564722805,0.350599265
1740906360.00,-0.751979509,-0.563200739,0.342537158
1740906390.00,-0.756744877,-0.561701839,0.334407323
1740906420.00,-0.761401958,-0.560226521,0.32621055
1740906450.00,-0.765951023,-0.558774684,0.317947056
1740906480.00,-0.770389598,-0.557346965,0.30961943
1740906510.00,-0.774717901,-0.55594342,0.301228812
1740906540.00,-0.778935452,-0.554564226,0.292777079
1740906570.00,-0.78304034,-0.553209903,0.284266226
1740906600.00,-0.787032455,-0.551880411,0.275697095
1740906630.00,-0.790910685,-0.550576139,0.267070663
1740906660.00,-0.794674811,-0.549297143,0.258388896
1740906690.00,-0.798323776,-0.548043819,0.249654729
1740906720.00,-0.801857459,-0.546816204,0.240868173
1740906750.00,-0.80527371,-0.545614861,0.232030967
1740906780.00,-0.808574353,-0.544439409,0.223146402
1740906810.00,-0.81175638,-0.543290645,0.214214212
1740906840.00,-0.814820534,-0.542168336,0.205236373
1740906870.00,-0.817765748,-0.541072864,0.196214854
1740906900.00,-0.82059104,-0.540004469,0.187151583
1740906930.00,-0.823296977,-0.53896316,0.178047616
1740906960.00,-0.825882577,-0.537949177,0.16890488
1740906990.00,-0.828347672,-0.536962626,0.159725377
1740907020.00,-0.830690311,-0.53600401,0.150509944
1740907050.00,-0.832912115,-0.535073024,0.141261722
1740907080.00,-0.835011041,-0.534170138,0.131980556
1740907110.00,-0.836987898,-0.533295281,0.12266953
1740907140.00,-0.838841618,-0.532448635,0.113329558
1740907170.00,-0.840572051,-0.531630479,0.103962643
1740907200.00,-0.842177972,-0.53084113,0.094571685
1740907230.00,-0.843661465,-0.530079955,0.085155902
1740907260.00,-0.845019145,-0.529348049,0.075718974
1740907290.00,-0.846252941,-0.52864491,0.066262105
1740907320.00,-0.847361704,-0.527970793,0.056787203
1740907350.00,-0.848346336,-0.527325676,0.047295368
1740907380.00,-0.849187028,-0.526738807,0.037785041
1740907410.00,-0.84993862,-0.526123449,0.028268527
1740907440.00,-0.850545952,-0.52556664,0.01873752
1740907470.00,-0.851028466,-0.525039091,0.009197584
1740907500.00,-0.851385206,-0.524541174,-0.000351373
1740907530.00,-0.851615907,-0.524072894,-0.009906343
1740907560.00,-0.851721315,-0.523634368,-0.019464252
1740907590.00,-0.851699538,-0.523225787,-0.029026255
1740907620.00,-0.851553088,-0.522846807,-0.038588102
1740907650.00,-0.851280202,-0.522497915,-0.048149952
1740907680.00,-0.850881501,-0.522178905,-0.057708718
1740907710.00,-0.85035691,-0.521889937,-0.067263441
1740907740.00,-0.849707081,-0.521630935,-0.076810898
1740907770.00,-0.848931178,-0.52140203,-0.086351312
1740907800.00,-0.848029846,-0.521203174,-0.095882548
1740907830.00,-0.84700303,-0.521034547,-0.105401643
1740907860.00,-0.845850551,-0.520896177,-0.114907474
1740907890.00,-0.844574184,-0.520787597,-0.124398948
1740907920.00,-0.843172774,-0.520709267,-0.133873164
1740907950.00,-0.841646431,-0.520661129,-0.143330086
1740907980.00,-0.839995709,-0.520643216,-0.15276564
1740908010.00,-0.833401906,-0.529272957,-0.159092725
1740908040.00,-0.826227824,-0.54074194,-0.157941489
1740908070.00,-0.818929192,-0.552110677,-0.1566169
1740908100.00,-0.81147836,-0.563378513,-0.155264845
1740908130.00,-0.80387874,-0.574542657,-0.153883876
1740908160.00,-0.798438457,-0.582339815,-0.152894973
1740908190.00,-0.798361329,-0.582447888,-0.152881177
1740908220.00,-0.798361748,-0.582448467,-0.152881115
1740908250.00,-0.798361945,-0.582448084,-0.152881007
1740908280.00,-0.798361986,-0.582447673,-0.152880839
1740908310.00,-0.798361537,-0.582448427,-0.152881869
1740908340.00,-0.79836159,-0.582448064,-0.15288175
1740908370.00,-0.798361812,-0.582447653,-0.152881687
1740908400.00,-0.798362111,-0.582448271,-0.15288162
1740908430.00,-0.798361384,-0.582448144,-0.152881616
1740908460.00,-0.79836147,-0.582447765,-0.152881457
1740908490.00,-0.798361857,-0.582448359,-0.152881442
1740908520.00,-0.798362053,-0.582448017,-0.152881342
1740908550.00,-0.798361263,-0.582447884,-0.152881291
1740908580.00,-0.798361697,-0.582448478,-0.152881277
1740908610.00,-0.79836189,-0.582448169,-0.152881188
1740908640.00,-0.798362018,-0.582447774,-0.152881077
1740908670.00,-0.798361581,-0.582448662,-0.152881135
1740908700.00,-0.798361728,-0.582448327,-0.152880993
1740908730.00,-0.798361878,-0.582447986,-0.152880934
1740908760.00,-0.798361234,-0.582447917,-0.152880951
1740908790.00,-0.798361629,-0.582448523,-0.152880898
1740908820.00,-0.798361952,-0.5824481,-0.152881803
1740908850.00,-0.798361261,-0.582448041,-0.152881815
1740908880.00,-0.798361678,-0.582448665,-0.152881767
1740908910.00,-0.804058347,-0.574277695,-0.15393323
1740908940.00,-0.811570773,-0.563231658,-0.155318178
1740908970.00,-0.818935882,-0.552084235,-0.156676179
1740909000.00,-0.826153052,-0.540836619,-0.158006247
1740909030.00,-0.833263982,-0.529494206,-0.159082399
1740909060.00,-0.838977912,-0.522956416,-0.15043894
1740909090.00,-0.840540375,-0.523064143,-0.141052605
1740909120.00,-0.841949325,-0.523251615,-0.131641524
1740909150.00,-0.84323418,-0.523469368,-0.122212215
1740909180.00,-0.844395246,-0.523717213,-0.112767631
1740909210.00,-0.845432453,-0.5239951,-0.103308768
1740909240.00,-0.846346021,-0.524302786,-0.09383753
1740909270.00,-0.847134081,-0.524640665,-0.084355128
1740909300.00,-0.847798728,-0.525008123,-0.07486336
1740909330.00,-0.848337196,-0.525405671,-0.065364473
1740909360.00,-0.848751578,-0.525832695,-0.055860267
1740909390.00,-0.849041867,-0.526289172,-0.04635073
1740909420.00,-0.849205534,-0.526775464,-0.036840111
1740909450.00,-0.84924541,-0.527290822,-0.027329101
1740909480.00,-0.849159697,-0.527835591,-0.017818875
1740909510.00,-0.848949518,-0.528409381,-0.008311321
1740909540.00,-0.848613079,-0.529012481,0.001191401
1740909570.00,-0.848152469,-0.529644279,0.010687494
1740909600.00,-0.847566789,-0.530304861,0.020175845
1740909630.00,-0.847598259,-0.530294681,0.019088321
1740909660.00,-0.84808919,-0.529767713,0.009548578
1740909690.00,-0.848457144,-0.529264879,6.03E-07
1740909720.00,-0.848698814,-0.528791053,-0.009553151
1740909750.00,-0.848814207,-0.528346412,-0.019110621
1740909780.00,-0.848803141,-0.527930901,-0.028671835
1740909810.00,-0.848666519,-0.527544373,-0.038233685
1740909840.00,-0.848404185,-0.527187043,-0.047795184
1740909870.00,-0.84801597,-0.526858931,-0.057354329
1740909900.00,-0.847500563,-0.526560365,-0.066908211
1740909930.00,-0.846860101,-0.526291014,-0.076456642
1740909960.00,-0.846094239,-0.526050838,-0.085997596
1740909990.00,-0.845201846,-0.525840397,-0.095528216
1740910020.00,-0.844184947,-0.525659075,-0.105048319
1740910050.00,-0.843041287,-0.525507555,-0.114554973
1740910080.00,-0.841773591,-0.525385208,-0.124047072
1740910110.00,-0.840380932,-0.525292289,-0.133523509
1740910140.00,-0.83886294,-0.525229043,-0.142980499
1740910170.00,-0.837220702,-0.525195165,-0.152417792
