Hole,AP,ML,Z
A1,-0.3,-0.75,-0.1981
A2,2.05,-0.95,-0.6171
A3,2.8,-1.25,-1.1006
B1,-1.19,-0.92,-0.2271
B2,-3.1,-0.96,-0.317
B3,0.9,-0.8,-0.3548
B4,0.3,-1.5,-0.4164
C1,-3.95,-1.53,-0.5755
C2,-2.39,-1.59,-0.3875
C3,-2.05,-2.3,-0.596
C4,-1.9,-0.7,-0.1995
D1,-3.7,-3.85,-1.9671
D2,-3.55,-3.08,-1.1861
D3,-3.2,-2.2,-0.6801
E1,-0.98,-3.44,-1.1984
E2,-2.83,-3.56,-1.3699
E3,0,-3.25,-1.1892
E4,-1.9,-3.6,-1.2999
F1,1.8,-2.6,-1.2271
F2,2.1,-1.74,-1.0091
F3,0.9,-2.8,-1.1008
