ngram,freq
CH,-5.412627410304975
HA,-4.427924513232291
AP,-6.170646262899131
PT,-6.895124569337195
TE,-4.851941531309708
ER,-3.9645125184928367
RI,-5.121138353792928
IW,-8.232722324785172
WE,-5.7675958474556435
EL,-5.233105390735699
LL,-5.230424823233367
LP,-8.093220765174147
PR,-5.779757554032917
IN,-3.9521135557697185
NC,-5.501782410837857
CE,-5.25755943947929
ES,-4.432768917407644
SO,-5.197726156145214
OG,-7.415160784533462
GE,-6.000842432463591
EN,-4.466486864297307
NO,-5.08815716419127
OA,-6.6176119087095255
AA,-8.292879241621378
AN,-4.003095159691711
ND,-4.267045041829823
DL,-6.8053664768675075
LU,-7.371197661112346
UC,-7.032198575389224
CC,-7.75507582116543
CA,-5.919268368746976
AR,-4.912890881169263
RE,-4.237878346586983
OW,-5.404010113609748
WJ,-11.558956667973872
JU,-7.661201634343431
US,-5.601824799946396
ST,-4.623748362210435
TF,-7.165536849470548
FA,-6.054981064452646
AM,-6.079881466608064
MI,-6.071569730445377
IL,-5.677725601265592
LY,-5.503832892442878
YE,-6.6745777067386225
TA,-5.114030814489471
AT,-4.4626147764862365
OF,-4.966768664933052
FT,-5.716741636599651
TH,-3.459275862576476
HE,-3.5079344597831943
EB,-6.236963465740551
BU,-6.1721706534382275
UO,-9.294592787800024
ON,-4.49662222954641
NA,-5.396256087623702
PA,-6.16438260001748
RT,-5.605064193773647
SB,-6.741703878030997
UT,-5.413341441038632
TI,-4.916904554724741
WA,-5.2553461205066725
RN,-6.657702306269856
NY,-6.948798940474742
YO,-5.777955983606126
OU,-4.665089044277007
UI,-7.202782172047728
IF,-6.490576712161454
FY,-8.760659589023884
UD,-7.356754709895358
DO,-5.626711480525862
NT,-4.583386989407879
TT,-5.175520418449741
LM,-7.895395021844226
ME,-5.102841334220513
ET,-4.896356254957259
HI,-4.546315986182146
IS,-4.719346405723418
SM,-6.447471013697677
EA,-4.595293757053439
NS,-5.641295652186939
SW,-6.1214209850493875
LT,-6.478588035862941
TR,-5.908076969360729
RY,-6.020474765777323
YT,-6.174843941262849
TO,-4.46209732990105
OD,-6.413644803885737
DE,-5.123541078035019
EF,-5.696035971979374
FE,-6.242267435743172
DT,-5.190912430662292
EI,-5.692016578933628
NF,-7.044897158726352
IE,-5.691073182637245
SA,-4.967397254342018
DH,-5.813819007635757
HO,-5.161055262837432
OR,-4.813573270478069
RR,-6.111860165400488
RO,-5.023594456039706
RS,-5.448228700039073
SP,-6.187931118043259
PE,-5.695207128168973
RP,-7.346211976586142
RA,-5.3077755893208405
ED,-4.342308367668815
DB,-6.281905499219002
BY,-6.901431251651853
IC,-5.65985872058938
HR,-7.378179599979465
IR,-6.035830470792565
AL,-5.120671827075812
YB,-7.303935149423237
BE,-5.407199626369469
LI,-5.507652120509873
EV,-5.930736213540093
VE,-5.150702489026494
EH,-5.6402868531326025
WI,-5.4675525218625465
LH,-7.918086433046296
AV,-6.269427807458915
OT,-5.143450627184791
NG,-4.593797634879802
GM,-8.3153882305153
MO,-5.828586358825241
IT,-4.753141833838877
HY,-7.679112560909961
UA,-7.229320420501915
DY,-7.211909752196018
OL,-5.678307301008595
LO,-5.617689524732804
RM,-6.431526480594127
MY,-6.872590593327253
YF,-7.487084961603831
FR,-6.033171778631571
DN,-6.342889304495575
AI,-5.629589180353477
HF,-8.68963831927554
FU,-7.1431326537167
UL,-5.96921424269522
LS,-6.896304046572419
SL,-6.825686479358465
LA,-5.621530407369596
AS,-4.6899422173081655
SY,-7.9335052407134805
UR,-5.727807597397231
SE,-4.881820731193442
LF,-6.81656399317921
FB,-8.379168231813718
WD,-8.304070405582639
OY,-7.5707445241881794
OI,-6.711494111832811
EE,-5.428273804489442
IH,-8.350131178959174
IG,-6.361841806934998
GH,-5.728541542384305
HT,-5.911156828068608
NE,-5.07438504759358
SI,-5.2353446989790555
TD,-7.285188261793889
WN,-6.942187346142429
EW,-5.333161380161116
WS,-7.478598347726511
TW,-6.07088019413121
NJ,-9.375718332612394
YA,-6.031679364790186
AK,-6.840457796678778
KE,-6.0863359155311
RW,-6.956707410413444
LK,-7.6903632204730625
KN,-7.0540673284435265
NN,-6.916972508863065
VL,-9.063687231150325
OV,-5.884631611809833
VN,-8.348449092776189
SC,-6.345834147489068
MA,-5.386821231229237
ID,-5.62307090063199
FH,-7.0665819761311255
DF,-6.864555348257839
VO,-7.389066675173131
EO,-5.687660812437761
EM,-5.398013094137373
MP,-6.509902263973672
SS,-5.157385025692228
AF,-6.870671575275274
AW,-6.637759936524858
WO,-6.233510634037583
RD,-6.1939546473798535
DS,-5.821712553203708
SH,-5.107433614153553
EG,-6.336575867515776
GR,-6.633818746036031
DP,-6.870671575275274
VA,-7.029048966486328
IK,-7.417808039553969
KU,-8.116937291791462
AG,-6.415345691186817
GI,-6.495834347826858
NK,-7.315832969726424
KA,-7.474381897347577
DI,-5.354819869418976
IM,-5.515631279230419
PO,-6.224628863902803
WH,-5.2853723644513835
FI,-6.118163653179081
IV,-6.590880988296413
EC,-5.368897442473093
EP,-5.774875108255216
IO,-5.823998575849221
AH,-7.767219828420228
AD,-5.336049766736986
DA,-5.38943310804055
AC,-5.732465039325232
CO,-5.283331867745907
UG,-6.613452663260167
FO,-5.675750349359788
OM,-5.324219198256515
AY,-6.11888658832714
YS,-6.486912745748973
SU,-6.329632172912787
UF,-8.753074217634628
FF,-6.637152587584232
GF,-8.013178057500609
ML,-8.956266982529488
IP,-7.931287944904833
PP,-6.853941147016065
GT,-6.2430859338449345
WW,-8.047411229142853
TP,-7.338836405351353
RG,-7.283448626678445
GU,-7.330299768144178
NL,-6.807884011015019
NV,-7.886884332176318
VI,-6.247188503701713
EX,-6.692384218554481
XC,-8.323551541154462
NW,-6.733981831937086
WR,-8.209052580699268
NI,-5.681804623295626
DD,-6.691101756051038
RL,-7.124179467914462
LE,-4.976931529081046
TL,-6.396315850396746
OO,-5.732587896994777
TM,-7.110927740249437
SF,-6.711494111832811
UH,-8.839856630685077
GB,-7.9148131077013275
OC,-6.963836817839282
UN,-5.658488700966483
OS,-5.641183513134396
CT,-6.4409628555571175
FS,-7.704386237293812
GA,-5.95745304243809
GW,-7.597350162356898
SN,-6.871438740637028
IB,-7.471580775067865
BL,-6.544716767174178
LB,-8.17315497178969
YC,-7.559228082126621
EY,-6.20473166948754
TB,-6.927469173668408
RH,-6.698498477345004
RU,-6.657392468931978
CK,-6.864174323296094
KR,-9.433705590262742
PL,-6.387053226281495
SR,-7.376906525332666
NH,-6.435240735204652
DJ,-8.569494007433477
DW,-6.392267743904272
MB,-7.312248736498609
BR,-7.1481806200140054
DC,-7.138611168997854
TU,-6.3323143381327265
MK,-10.676567487775399
OE,-7.782371633440831
XP,-7.520301011612361
FL,-7.383928577806386
OK,-6.517145756409167
IZ,-8.348449092776189
ZI,-9.211557559190034
OH,-6.53315912613794
DG,-7.371197661112346
LD,-5.844811406282124
CI,-6.886127833511966
TY,-6.451497189242077
TC,-7.060073352503738
UP,-6.779133139832005
KI,-6.5125789251006605
BA,-6.65646353249732
MS,-6.866080901566676
RF,-7.184248414107671
WY,-9.443705673597325
TS,-5.699120563344327
YM,-7.815352314170689
FW,-7.892195019113555
LW,-7.553898796578537
