epoch_utc,file_name
1740902403,lexi_payload_1740902403_21928_level_1c_1.0.0.cdf
1740902703,lexi_payload_1740902703_24376_level_1c_1.0.0.cdf
1740903003,lexi_payload_1740903003_32562_level_1c_1.0.0.cdf
1740903303,lexi_payload_1740903303_38123_level_1c_1.0.0.cdf
1740903604,lexi_payload_1740903604_585_level_1c_1.0.0.cdf
1740903904,lexi_payload_1740903904_5883_level_1c_1.0.0.cdf
1740904204,lexi_payload_1740904204_8155_level_1c_1.0.0.cdf
1740904504,lexi_payload_1740904504_13202_level_1c_1.0.0.cdf
1740904804,lexi_payload_1740904804_17202_level_1c_1.0.0.cdf
1740905104,lexi_payload_1740905104_24998_level_1c_1.0.0.cdf
1740905404,lexi_payload_1740905404_28395_level_1c_1.0.0.cdf
1740905704,lexi_payload_1740905704_36553_level_1c_1.0.0.cdf
1740906005,lexi_payload_1740906005_699_level_1c_1.0.0.cdf
1740906305,lexi_payload_1740906305_6905_level_1c_1.0.0.cdf
1740906605,lexi_payload_1740906605_11498_level_1c_1.0.0.cdf
1740906905,lexi_payload_1740906905_12592_level_1c_1.0.0.cdf
1740907205,lexi_payload_1740907205_16449_level_1c_1.0.0.cdf
1740907505,lexi_payload_1740907505_24459_level_1c_1.0.0.cdf
1740907805,lexi_payload_1740907805_29291_level_1c_1.0.0.cdf
1740908105,lexi_payload_1740908105_34079_level_1c_1.0.0.cdf
1740908405,lexi_payload_1740908405_37497_level_1c_1.0.0.cdf
1740908706,lexi_payload_1740908706_4377_level_1c_1.0.0.cdf
1740909006,lexi_payload_1740909006_10233_level_1c_1.0.0.cdf
1740909306,lexi_payload_1740909306_13959_level_1c_1.0.0.cdf
1740909606,lexi_payload_1740909606_16332_level_1c_1.0.0.cdf
1740909906,lexi_payload_1740909906_20837_level_1c_1.0.0.cdf
1740910206,lexi_payload_1740910206_24507_level_1c_1.0.0.cdf
1740910506,lexi_payload_1740910506_32832_level_1c_1.0.0.cdf
1740910806,lexi_payload_1740910806_37060_level_1c_1.0.0.cdf
1740911107,lexi_payload_1740911107_3439_level_1c_1.0.0.cdf
1740911407,lexi_payload_1740911407_4344_level_1c_1.0.0.cdf
1740911707,lexi_payload_1740911707_9264_level_1c_1.0.0.cdf
1740912007,lexi_payload_1740912007_13312_level_1c_1.0.0.cdf
1740912307,lexi_payload_1740912307_16822_level_1c_1.0.0.cdf
1740912607,lexi_payload_1740912607_20334_level_1c_1.0.0.cdf
1740912907,lexi_payload_1740912907_24656_level_1c_1.0.0.cdf
1740913207,lexi_payload_1740913207_30220_level_1c_1.0.0.cdf
1740913507,lexi_payload_1740913507_33253_level_1c_1.0.0.cdf
1740913807,lexi_payload_1740913807_37450_level_1c_1.0.0.cdf
1740914108,lexi_payload_1740914108_170_level_1c_1.0.0.cdf
1740914408,lexi_payload_1740914408_9208_level_1c_1.0.0.cdf
1740914708,lexi_payload_1740914708_13728_level_1c_1.0.0.cdf
1740915008,lexi_payload_1740915008_23486_level_1c_1.0.0.cdf
1740915308,lexi_payload_1740915308_24632_level_1c_1.0.0.cdf
1740915608,lexi_payload_1740915608_28650_level_1c_1.0.0.cdf
1740915908,lexi_payload_1740915908_33316_level_1c_1.0.0.cdf
1740916208,lexi_payload_1740916208_37135_level_1c_1.0.0.cdf
1740916509,lexi_payload_1740916509_5635_level_1c_1.0.0.cdf
1740916809,lexi_payload_1740916809_10343_level_1c_1.0.0.cdf
1740917109,lexi_payload_1740917109_18195_level_1c_1.0.0.cdf
1740917409,lexi_payload_1740917409_20189_level_1c_1.0.0.cdf
1740917709,lexi_payload_1740917709_24353_level_1c_1.0.0.cdf
1740918009,lexi_payload_1740918009_28388_level_1c_1.0.0.cdf
1740918309,lexi_payload_1740918309_32864_level_1c_1.0.0.cdf
1740918609,lexi_payload_1740918609_37000_level_1c_1.0.0.cdf
1740918910,lexi_payload_1740918910_453_level_1c_1.0.0.cdf
1740919210,lexi_payload_1740919210_4860_level_1c_1.0.0.cdf
1740919510,lexi_payload_1740919510_8621_level_1c_1.0.0.cdf
1740919810,lexi_payload_1740919810_12816_level_1c_1.0.0.cdf
1740920110,lexi_payload_1740920110_17732_level_1c_1.0.0.cdf
1740920410,lexi_payload_1740920410_23602_level_1c_1.0.0.cdf
1740920710,lexi_payload_1740920710_27442_level_1c_1.0.0.cdf
1740921010,lexi_payload_1740921010_29641_level_1c_1.0.0.cdf
1740921310,lexi_payload_1740921310_34843_level_1c_1.0.0.cdf
1740921610,lexi_payload_1740921610_37915_level_1c_1.0.0.cdf
1740921911,lexi_payload_1740921911_1198_level_1c_1.0.0.cdf
1740922211,lexi_payload_1740922211_4417_level_1c_1.0.0.cdf
1740922511,lexi_payload_1740922511_10683_level_1c_1.0.0.cdf
1740922811,lexi_payload_1740922811_14159_level_1c_1.0.0.cdf
1740923111,lexi_payload_1740923111_17467_level_1c_1.0.0.cdf
1740923411,lexi_payload_1740923411_21101_level_1c_1.0.0.cdf
1740923711,lexi_payload_1740923711_25491_level_1c_1.0.0.cdf
1740924011,lexi_payload_1740924011_28666_level_1c_1.0.0.cdf
1740924311,lexi_payload_1740924311_32155_level_1c_1.0.0.cdf
1740924612,lexi_payload_1740924612_268_level_1c_1.0.0.cdf
1740924912,lexi_payload_1740924912_4549_level_1c_1.0.0.cdf
1740925212,lexi_payload_1740925212_9985_level_1c_1.0.0.cdf
1740925512,lexi_payload_1740925512_12295_level_1c_1.0.0.cdf
1740925812,lexi_payload_1740925812_19733_level_1c_1.0.0.cdf
1740926112,lexi_payload_1740926112_20174_level_1c_1.0.0.cdf
1740926412,lexi_payload_1740926412_25861_level_1c_1.0.0.cdf
1740926712,lexi_payload_1740926712_29387_level_1c_1.0.0.cdf
1740927012,lexi_payload_1740927012_32613_level_1c_1.0.0.cdf
1740927312,lexi_payload_1740927312_37572_level_1c_1.0.0.cdf
1740927613,lexi_payload_1740927613_482_level_1c_1.0.0.cdf
1740927913,lexi_payload_1740927913_5020_level_1c_1.0.0.cdf
1740928213,lexi_payload_1740928213_9000_level_1c_1.0.0.cdf
1740928513,lexi_payload_1740928513_13092_level_1c_1.0.0.cdf
1740928813,lexi_payload_1740928813_16840_level_1c_1.0.0.cdf
1740929113,lexi_payload_1740929113_20151_level_1c_1.0.0.cdf
1740929413,lexi_payload_1740929413_26028_level_1c_1.0.0.cdf
1740929713,lexi_payload_1740929713_28317_level_1c_1.0.0.cdf
1740930013,lexi_payload_1740930013_32954_level_1c_1.0.0.cdf
1740930313,lexi_payload_1740930313_36515_level_1c_1.0.0.cdf
1740930614,lexi_payload_1740930614_1107_level_1c_1.0.0.cdf
1740930914,lexi_payload_1740930914_4658_level_1c_1.0.0.cdf
1740931214,lexi_payload_1740931214_10110_level_1c_1.0.0.cdf
1740931514,lexi_payload_1740931514_12147_level_1c_1.0.0.cdf
1740931814,lexi_payload_1740931814_16462_level_1c_1.0.0.cdf
1740932114,lexi_payload_1740932114_20299_level_1c_1.0.0.cdf
1740932414,lexi_payload_1740932414_26377_level_1c_1.0.0.cdf
1740932714,lexi_payload_1740932714_28860_level_1c_1.0.0.cdf
1740933014,lexi_payload_1740933014_32859_level_1c_1.0.0.cdf
1740933314,lexi_payload_1740933314_36495_level_1c_1.0.0.cdf
1740933615,lexi_payload_1740933615_217_level_1c_1.0.0.cdf
1740933915,lexi_payload_1740933915_4810_level_1c_1.0.0.cdf
1740934215,lexi_payload_1740934215_10970_level_1c_1.0.0.cdf
1740934515,lexi_payload_1740934515_12693_level_1c_1.0.0.cdf
1740934815,lexi_payload_1740934815_17808_level_1c_1.0.0.cdf
1740935115,lexi_payload_1740935115_24847_level_1c_1.0.0.cdf
1740935415,lexi_payload_1740935415_31527_level_1c_1.0.0.cdf
1740935715,lexi_payload_1740935715_34675_level_1c_1.0.0.cdf
1740936015,lexi_payload_1740936015_36725_level_1c_1.0.0.cdf
