year	name
2024	A Complete Unknown
2024	A Different Man
2024	A Real Pain
2024	Alien: Romulus
2024	All We Imagine as Light
2024	Anora
2024	Armand
2024	Babygirl
2024	Beetlejuice Beetlejuice
2024	Better Man
2024	Between the Temples
2024	Black Box Diaries
2024	Blink Twice
2024	Blitz
2024	Bob Marley: One Love
2024	Challengers
2024	Chicken for Linda!
2024	Civil War
2024	Conclave
2024	Dahomey
2024	Daughters
2024	Deadpool & Wolverine
2024	Dìdi
2024	Dune: Part Two
2024	Elton John: Never Too Late
2024	Emilia Pérez
2024	Eno
2024	Flow
2024	Frida
2024	From Ground Zero
2024	Furiosa: A Mad Max Saga
2024	Gladiator II
2024	Hard Truths
2024	Heretic
2024	His Three Daughters
2024	Hit Man
2024	Hollywoodgate
2024	Horizon: An American Saga — Chapter 1
2024	How to Make Millions Before Grandma Dies
2024	I'm Still Here
2024	Inside Out 2
2024	Joker: Folie á Deux
2024	Kingdom of the Planet of the Apes
2024	Kneecap
2024	Kung Fu Panda 4
2024	Lee
2024	Maria
2024	Memoir of a Snail
2024	Moana 2
2024	Mufasa: The Lion King
2024	Nickel Boys
2024	Nightbitch
2024	No Other Land
2024	Nosferatu
2024	Piece by Piece
2024	Porcelain War
2024	Queendom
2024	Queer
2024	Santosh
2024	Saturday Night
2024	September 5
2024	Sing Sing
2024	Soundtrack to a Coup d'Etat
2024	Sugarcane
2024	That Christmas
2024	The Apprentice
2024	The Bibi Files
2024	The Book of Clarence
2024	The Brutalist
2024	The Day the Earth Blew Up: A Looney Tunes Movie
2024	The Fall Guy
2024	The Fire Inside
2024	The Girl with the Needle
2024	The Glassworker
2024	The Imaginary
2024	The Last Showgirl
2024	The Lord of the Rings: The War of the Rohirrim
2024	The Order
2024	The Piano Lesson
2024	The Remarkable Life of Ibelin
2024	The Room Next Door
2024	The Seed of the Sacred Fig
2024	The Six Triple Eight
2024	The Substance
2024	The Wild Robot
2024	Touch
2024	Transformers One
2024	Twisters
2024	Ultraman: Rising
2024	Union
2024	Universal Language
2024	Vermiglio
2024	Wallace & Gromit: Vengeance Most Fowl
2024	Waltzing with Brando
2024	Waves
2024	Wicked
2024	Will & Harper
2024	Young Woman and the Sea
