Hole,AP,ML
A3,2.55,1.0
A4,2.55,-1.0
B1,2.5,2.15
B3,1.1,0.8
B4,1.1,-0.8
C3,0.3,1.5
C4,0.3,-1.5
D1,-0.15,2.5
D2,-0.15,-2.5
D3,-1.3,3.05
D4,-1.2,-3.0
E1,-2.2,2.3
E2,-2.2,-2.3
E3,-2.7,4.2
F1,-3.6,2.3
F2,-3.6,-2.3
F3,-3.5,0.9
F4,-3.5,-0.9
