Hole,Target,AP,ML
A1,PL1,2.92,-0.6
A2,MOs0,2.5,-1.5
A3,ACAd anterior0,2.05,-0.5
B3,LGd0,-2.2,-2.3
A4,MD0,-0.053,-0.643
E3,GPe0,-0.26,-3.98
D1,VISpor0,-4.5,-4
F2,VAL0,0.9,-2.28
E2,aud_STR1,-0.98,-3.44
C2,MRN0,-3.76,-1.28
B2,VTA1,-2.6,-0.7
C1,MGd0,-3.2,-2.4
E1,MGd1,-2.83,-3.76
B1,RSPagl anterior0,-1.19,-0.92
F1,MOs1,3,-4.01
