ngram,freq
CH,-5.617578418983336
HA,-4.72433376613759
AP,-6.585378943342116
PT,-7.450405799948208
TE,-5.113859533430037
ER,-4.257510168622704
R ,-4.590779499273349
 I,-4.603833883761604
I ,-6.378033808712814
 W,-4.326866985875918
WE,-5.986048588907472
EL,-5.689103617342471
LL,-5.455792948672817
L ,-5.470966816329243
 P,-5.100015882606932
PR,-5.989285047166546
RI,-5.441145650187466
IN,-4.15699408204041
NC,-5.820168376765248
CE,-5.462891402323698
E ,-3.3221811135205366
 S,-4.3220578687459055
SO,-5.83728546411505
O ,-4.7419457704093455
 G,-5.756232248789564
GE,-6.264254356069248
EN,-4.760139025184516
NO,-5.495591863634632
OA,-7.709979105305677
A ,-5.314326133783159
 A,-3.7902899081862578
AN,-4.21364722901182
ND,-4.493279559860071
D ,-3.703186250478619
 L,-5.450710056418537
LU,-7.627264385354329
UC,-7.3171539321333325
CC,-8.003475147622877
CA,-6.1324956159458575
AR,-5.15202180541699
RE,-4.46337533568926
 N,-5.314326133783159
OW,-5.739527847334246
W ,-5.913881234479024
 J,-7.524642773843632
JU,-7.864009019478541
US,-5.848486298062947
ST,-5.160930299154129
T ,-3.968864771249526
 F,-4.972370101961922
FA,-6.681395420998051
AM,-6.502750736519975
MI,-6.416245085076651
IL,-5.899554341858262
LY,-5.731880396097055
Y ,-4.585159174723097
 E,-5.571448647255834
ES,-5.018785151705051
TA,-5.854587322523589
AT,-4.700251028631027
S ,-3.8915344468370967
 O,-4.508618091998384
OF,-5.211398259003445
F ,-5.068388754614688
 T,-3.559624130940657
TH,-3.7360705512833667
HE,-3.7141745709171525
 B,-4.805258293284468
BU,-6.375550284654761
UO,-9.935871577511469
ON,-4.7184222031621665
NA,-6.331140001918511
PA,-6.485564491814564
RT,-6.5162762481221455
UT,-5.64808187327675
WA,-5.535392087766548
RN,-7.095969245304455
N ,-4.327974392074902
 Y,-6.12891084735719
YO,-6.257449294081706
OU,-4.87954028015661
U ,-6.701280953285158
IF,-6.720491789550836
 D,-5.186804444275634
DO,-6.375359499573576
NT,-5.195736463144013
 M,-5.06026448121643
ME,-5.317036789636155
HI,-4.777549402015458
IS,-4.948182100394106
EA,-5.445050731749636
NS,-6.133843224145608
TI,-5.404788713399868
TR,-6.314308548557231
RY,-6.287394742780585
TO,-4.827204571374794
DE,-5.415177851124693
EF,-6.887521383918281
FE,-6.507529199131134
NF,-8.137423120132617
IE,-5.901452776220554
 H,-4.121460608202091
HO,-5.415104823775919
OR,-5.059957261551955
RR,-6.438550842590949
RO,-5.351246576326349
RS,-5.875428566965049
PE,-5.900977829643116
RP,-8.648248743898607
ET,-5.994224612650029
RA,-5.918098870423227
ED,-4.680826071966407
BY,-7.105029776068733
IC,-5.899080295866924
HR,-7.789901047324818
 R,-5.317434088012457
AL,-5.382347980385544
BE,-5.610184505292761
LI,-5.788909095250171
EV,-6.3298632119593785
VE,-5.356673345612141
WI,-5.734892144182243
AV,-6.528207454615755
OT,-5.7329836508100325
NG,-4.817114482944569
G ,-4.936666007807854
MO,-6.129955078077869
IT,-4.973825125569402
H ,-5.297760032228514
LO,-5.912559357221108
MY,-7.133528594189894
FR,-6.302178538964823
AI,-5.8660993890237085
HF,-10.72031017828082
FU,-7.426108635617222
UL,-6.187552569861206
SL,-7.848908061376943
LA,-5.999319665804195
AS,-4.9811321704560365
 C,-4.99494849314203
UR,-5.942423237818508
SE,-5.1724937557336705
LF,-7.195681255828937
EE,-5.949625553815156
IG,-6.5799805028168965
GH,-6.251027098609711
HT,-6.60438640557613
NE,-5.33831418808344
SI,-5.801188359034745
WN,-7.237261770188345
EW,-6.875181407682705
WS,-8.194581533972565
SP,-6.860509691404966
AK,-7.090494065416366
