Hole,Target,AP,ML
A1,ILA0,3.13,-1.31
A2,vis_STR0,2.05,-0.95
B1,ACAd posterior0,0.5,-0.5
F2,aud_STR0,1.8,-2.6
D1,SNr/c0,-3.7,-3.85
E1,VTA0,-1.9,-3.6
E2,RT0,-0.56,-3.52
C2,LP0,-2.81,-1.76
B3,SC0,-3.85,-0.5
C1,VISp0,-3.76,-2.33
C3,AUDp0,-2.71,-4.64
B2,LD0,-0.96,-1.03
F1,MOs1,3,-4.01
E3,CP2,0.75,-3.25
