Time,LEXI_RA_J2000_rad,LEXI_DEC_J2000_rad
1740905400,-2.261441737,0.452300704
1740905430,-2.272036243,0.461797972
1740905460,-2.282741704,0.471256355
1740905490,-2.293552343,0.48066749
1740905520,-2.304469118,0.490027958
1740905550,-2.315497298,0.4993382
1740905580,-2.326638404,0.508595386
1740905610,-2.337896822,0.517798801
1740905640,-2.349274113,0.526945563
1740905670,-2.364576015,0.531781083
1740905700,-2.372762993,0.525319535
1740905730,-2.379880424,0.51805772
1740905760,-2.386856065,0.510714746
1740905790,-2.393693547,0.503292358
1740905820,-2.400394059,0.495792176
1740905850,-2.406957575,0.48821777
1740905880,-2.413385739,0.480568804
1740905910,-2.419679332,0.472849554
1740905940,-2.425839776,0.46505966
1740905970,-2.431867537,0.457201666
1740906000,-2.437765326,0.449278271
1740906030,-2.443532692,0.441289483
1740906060,-2.449171832,0.433238249
1740906090,-2.45468376,0.425125707
1740906120,-2.460069865,0.416953253
1740906150,-2.465331193,0.408722821
1740906180,-2.47046787,0.400436797
1740906210,-2.475482218,0.392095052
1740906240,-2.48037587,0.383700525
1740906270,-2.485148557,0.375253455
1740906300,-2.489802645,0.366756573
1740906330,-2.494339462,0.358210743
1740906360,-2.49875904,0.349616108
1740906390,-2.503063246,0.340976273
1740906420,-2.507252769,0.332292044
1740906450,-2.511329724,0.323563319
1740906480,-2.51529385,0.314792775
1740906510,-2.519147024,0.305981107
1740906540,-2.522890535,0.297129845
1740906570,-2.526524479,0.288240895
1740906600,-2.530050485,0.279314689
1740906630,-2.533469169,0.270351921
1740906660,-2.536781924,0.26135406
1740906690,-2.539989312,0.252323631
1740906720,-2.543092709,0.243260159
1740906750,-2.546091821,0.234165152
1740906780,-2.548989413,0.225040952
1740906810,-2.551784417,0.215887201
1740906840,-2.554478754,0.206705113
1740906870,-2.557072741,0.197496142
1740906900,-2.559566821,0.188261672
1740906930,-2.56196246,0.179001994
1740906960,-2.564260007,0.169718462
1740906990,-2.566460335,0.160412377
1740907020,-2.568562951,0.151084077
1740907050,-2.570569968,0.141735758
1740907080,-2.572480781,0.132366747
1740907110,-2.574296756,0.122979258
1740907140,-2.576017973,0.113573542
1740907170,-2.577644884,0.104150805
1740907200,-2.57917728,0.094713235
1740907230,-2.580617487,0.085259117
1740907260,-2.581963385,0.075791512
1740907290,-2.583217004,0.066310685
1740907320,-2.584378041,0.056817774
1740907350,-2.585447466,0.047313001
1740907380,-2.58639038,0.037794036
1740907410,-2.587309851,0.028272284
1740907440,-2.588103092,0.018738618
1740907470,-2.588805543,0.009197713
1740907500,-2.589416612,-0.000351373
1740907530,-2.589936337,-0.009906504
1740907560,-2.590365135,-0.019465472
1740907590,-2.590701935,-0.029030334
1740907620,-2.590948373,-0.038597675
1740907650,-2.59110309,-0.048168566
1740907680,-2.591166516,-0.057740785
1740907710,-2.591138353,-0.067314254
1740907740,-2.591018834,-0.076886595
1740907770,-2.590807188,-0.086458954
1740907800,-2.59050352,-0.096030034
1740907830,-2.590107318,-0.105597752
1740907860,-2.589618089,-0.115161873
1740907890,-2.58903674,-0.124722028
1740907920,-2.588361788,-0.13427627
1740907950,-2.587592805,-0.143825412
1740907980,-2.586729472,-0.153366198
1740908010,-2.575780971,-0.159771678
1740908040,-2.562080972,-0.158605645
1740908070,-2.548402339,-0.157264339
1740908100,-2.534728149,-0.155895572
1740908130,-2.521060234,-0.154497733
1740908160,-2.511440101,-0.153496991
1740908190,-2.511305757,-0.153483146
1740908220,-2.511305533,-0.15348298
1740908250,-2.511305965,-0.153482884
1740908280,-2.511306325,-0.153482749
1740908310,-2.511305441,-0.153483755
1740908340,-2.511305769,-0.153483664
1740908370,-2.511306238,-0.153483611
1740908400,-2.511305911,-0.153483452
1740908430,-2.511305581,-0.153483549
1740908460,-2.511305942,-0.153483416
1740908490,-2.511305687,-0.1534833
1740908520,-2.511306083,-0.153483208
1740908550,-2.511305721,-0.153483267
1740908580,-2.511305494,-0.153483146
1740908610,-2.511305862,-0.153483062
1740908640,-2.511306261,-0.153482972
1740908670,-2.511305275,-0.153483004
1740908700,-2.511305636,-0.153482875
1740908730,-2.511306004,-0.153482829
1740908760,-2.511305677,-0.153482932
1740908790,-2.511305417,-0.153482776
1740908820,-2.511305955,-0.153483668
1740908850,-2.511305591,-0.153483771
1740908880,-2.51130533,-0.153483615
1740908910,-2.521384094,-0.154547714
1740908940,-2.534903614,-0.155949472
1740908970,-2.548428325,-0.157324332
1740909000,-2.561959276,-0.158671282
1740909030,-2.575516898,-0.159761131
1740909060,-2.584198303,-0.15101231
1740909090,-2.584940811,-0.141524566
1740909120,-2.585531194,-0.132024706
1740909150,-2.586028177,-0.122518508
1740909180,-2.586432561,-0.113008034
1740909210,-2.586744768,-0.103493441
1740909240,-2.586965495,-0.09397577
1740909270,-2.587093736,-0.084455502
1740909300,-2.58713139,-0.074933438
1740909330,-2.58707678,-0.06541112
1740909360,-2.586931702,-0.055889368
1740909390,-2.586696289,-0.046367324
1740909420,-2.58636897,-0.036848456
1740909450,-2.585951892,-0.027332501
1740909480,-2.585443783,-0.017819817
1740909510,-2.584845488,-0.008311413
1740909540,-2.584155685,0.001191402
1740909570,-2.583375819,0.010687698
1740909600,-2.582505116,0.020177217
1740909630,-2.582530442,0.019089484
1740909660,-2.583237599,0.009548721
1740909690,-2.58E+00,6.03E-07
1740909720,-2.584388957,-0.009553292
1740909750,-2.584827442,-0.019111777
1740909780,-2.585174494,-0.028675767
1740909810,-2.585430746,-0.038243011
1740909840,-2.585595916,-0.047813395
1740909870,-2.585669831,-0.057385794
1740909900,-2.585651402,-0.066958243
1740909930,-2.585541869,-0.076531332
1740909960,-2.585340868,-0.086103927
1740909990,-2.585047049,-0.095674113
1740910020,-2.584661692,-0.105242444
1740910050,-2.584182641,-0.114807032
1740910080,-2.583611458,-0.124367423
1740910110,-2.582946956,-0.133923439
1740910140,-2.582188198,-0.143472205
1740910170,-2.581335442,-0.153014216
1740910200,-2.580388355,-0.162548156
1740910230,-2.579345711,-0.172074182
1740910260,-2.579765102,-0.18176541
1740910290,-2.592755822,-0.188247191
1740910320,-2.606346469,-0.189726989
1740910350,-2.619916082,-0.191426947
1740910380,-2.633525614,-0.192807413
1740910410,-2.64711213,-0.194441657
1740910440,-2.660737533,-0.195750178
1740910470,-2.674339656,-0.197317791
1740910500,-2.687980098,-0.198552444
1740910530,-2.701596949,-0.20005286
1740910560,-2.715252211,-0.201211455
1740910590,-2.72888439,-0.202643236
1740910620,-2.742552811,-0.203726368
1740910650,-2.749891637,-0.204557803
1740910680,-2.74989746,-0.204447201
1740910710,-2.749773772,-0.204643784
1740910740,-2.749733443,-0.204529194
1740910770,-2.749609818,-0.204725751
1740910800,-2.749569399,-0.204610196
1740910830,-2.749446567,-0.204806883
1740910860,-2.747895897,-0.204515872
1740910890,-2.734083171,-0.203358899
1740910920,-2.720278895,-0.202164737
1740910950,-2.706479864,-0.200933388
1740910980,-2.692688851,-0.199665244
1740911010,-2.678904922,-0.198359246
1740911040,-2.665128185,-0.197017268
1740911070,-2.651358387,-0.195638234
1740911100,-2.637596787,-0.194223567
1740911130,-2.623843374,-0.19277326
1740911160,-2.610097148,-0.191287344
1740911190,-2.596359249,-0.189765136
1740911220,-2.582700074,-0.187628492
